Year,Sex,Control,race,rate
2011,Male,Private For-profit,White,63.3088788562829
2012,Male,Private For-profit,Total,57.7083152692274
2012,Male,Private For-profit,Asian,68.29640947288006
2012,Male,Private For-profit,Black,46.6893780573026
2012,Male,Private For-profit,Hispanic,63.9398998330551
2012,Male,Private For-profit,White,61.677951133353
2013,Male,Private For-profit,Total,57.0893378955518
2013,Male,Private For-profit,Asian,67.3913043478261
2013,Male,Private For-profit,Black,44.5422166352399
2013,Male,Private For-profit,Hispanic,62.855579868709
2013,Male,Private For-profit,White,61.7721341377859
2014,Male,Private For-profit,Total,58.2119417320314
2014,Male,Private For-profit,Asian,66.69456066945607
2014,Male,Private For-profit,Black,45.9773760439793
2014,Male,Private For-profit,Hispanic,65.1647985795139
2014,Male,Private For-profit,White,62.8237325380631
2015,Male,Private For-profit,Total,59.4530756179514
2015,Male,Private For-profit,Asian,67.57679180887372
2015,Male,Private For-profit,Black,49.800853485064
2015,Male,Private For-profit,Hispanic,62.5816566501176
2015,Male,Private For-profit,White,64.0475965624705
2016,Male,Private For-profit,Total,61.2856122036847
2016,Male,Private For-profit,Asian,73.68995633187772
2016,Male,Private For-profit,Black,48.2688146188988
2016,Male,Private For-profit,Hispanic,65.5590211132438
2016,Male,Private For-profit,White,66.5010893246187
2017,Male,Private For-profit,Total,61.5701219512195
2017,Male,Private For-profit,Asian,74.1503604531411
2017,Male,Private For-profit,Black,49.1493143727781
2017,Male,Private For-profit,Hispanic,67.4640112566295
2017,Male,Private For-profit,White,64.9851632047478
2018,Male,Private For-profit,Total,59.2938201739863
2018,Male,Private For-profit,Asian,65.5857740585774
2018,Male,Private For-profit,Black,48.4167517875383
2018,Male,Private For-profit,Hispanic,63.2247377139702
2018,Male,Private For-profit,White,64.5276292335116
2019,Male,Private For-profit,Total,54.9174405223861
2019,Male,Private For-profit,Asian,62.5396825396826
2019,Male,Private For-profit,Black,44.1204394412044
2019,Male,Private For-profit,Hispanic,58.5746329526917
2019,Male,Private For-profit,White,60.7290671760586
2000,Female,All,Total,32.0703516389141
2000,Female,All,Black,28.1308776699752
2000,Female,All,Hispanic,31.8136013290846
2000,Female,All,White,33.0319722760556
2005,Female,All,Total,29.4724683215321
2005,Female,All,Black,25.4187785679672
2005,Female,All,Hispanic,28.5617495982101
2005,Female,All,White,30.0957876319145
2008,Female,All,Total,34.3671685246611
2008,Female,All,Asian,39.56808576435419
2008,Female,All,Black,30.8862141040558
2008,Female,All,Hispanic,39.3877705709738
2008,Female,All,White,32.2538782278512
2009,Female,All,Total,34.0515171670538
2009,Female,All,Asian,40.33689839572192
2009,Female,All,Black,29.4173255414232
2009,Female,All,Hispanic,40.8737340675421
2009,Female,All,White,32.2902067192154
2010,Female,All,Total,32.1389172081133
2010,Female,All,Asian,38.90952734754529
2010,Female,All,Black,26.705054122243
2010,Female,All,Hispanic,38.2278505655382
2010,Female,All,White,31.12000511783
2011,Female,All,Total,30.0350306833503
2011,Female,All,Asian,37.85520761136664
2011,Female,All,Black,22.58110556074
2011,Female,All,Hispanic,33.1124222948056
2011,Female,All,White,30.479441273953
2012,Female,All,Total,31.1598606246401
2012,Female,All,Asian,39.9833802096651
2012,Female,All,Black,24.5807606590917
2012,Female,All,Hispanic,33.6059684995855
2012,Female,All,White,31.7100787224801
2013,Female,All,Total,32.7789221556886
2013,Female,All,Asian,40.789730892031
2013,Female,All,Black,25.9763755784837
2013,Female,All,Hispanic,33.7701856530814
2013,Female,All,White,33.7347814892466
2014,Female,All,Total,34.1311058010478
2014,Female,All,Asian,42.3719958202717
2014,Female,All,Black,28.5635670752679
2014,Female,All,Hispanic,34.6294319267292
2014,Female,All,White,35.0037098659951
2015,Female,All,Total,34.6918144219251
2015,Female,All,Asian,41.6922460963566
2015,Female,All,Black,31.762629605118
2015,Female,All,Hispanic,33.333726595958
2015,Female,All,White,36.1530843495009
2016,Female,All,Total,34.060717196414
2016,Female,All,Asian,44.02692862540359
2016,Female,All,Black,27.126942695805
2016,Female,All,Hispanic,34.4045012595052
2016,Female,All,White,35.7798406741721
2017,Female,All,Total,35.2452316889098
2017,Female,All,Asian,46.0480602200347
2017,Female,All,Black,26.8658312686048
2017,Female,All,Hispanic,35.3742218449349
2017,Female,All,White,37.1047335483693
2018,Female,All,Total,36.3010342629106
2018,Female,All,Asian,48.2441587169916
2018,Female,All,Black,28.540503792758
2018,Female,All,Hispanic,35.3885418765532
2018,Female,All,White,38.0752462457614
2019,Female,All,Total,35.6606326397313
2019,Female,All,Asian,48.3691974556774
2019,Female,All,Black,27.134224034366
2019,Female,All,Hispanic,34.3005630142919
2019,Female,All,White,38.4737724827945
2000,Female,Public,Total,24.7818133313007
2000,Female,Public,Black,18.7648197105557
2000,Female,Public,Hispanic,17.8555728729569
2000,Female,Public,White,27.1114879479504
2005,Female,Public,Total,21.2539921069063
2005,Female,Public,Black,12.0884461183331
2005,Female,Public,Hispanic,16.3109658399026
2005,Female,Public,White,23.911364098394
2008,Female,Public,Total,20.6840125767844
2008,Female,Public,Asian,29.57573273211724
2008,Female,Public,Black,11.733180031155
